Age,Gender,Education Level,Job Title,Years of Experience,Salary
42.0,male,phd,senior project engineer,14.0,175000.0
27.0,male,bachelor's degree,front end developer,3.0,80000.0
54.0,male,phd,software engineer manager,18.0,195000.0
38.0,male,master's degree,senior software engineer,10.0,155000.0
31.0,male,master's degree,senior project engineer,6.0,125000.0
28.0,female,master's degree,full stack engineer,4.0,110000.0
30.0,female,master's degree,back end developer,6.0,130000.0
54.0,male,phd,software engineer manager,16.0,190000.0
37.0,male,master's degree,senior software engineer,9.0,150000.0
31.0,male,master's degree,senior software engineer,7.0,140000.0
58.0,female,phd,software engineer manager,17.0,195000.0
23.0,female,bachelor's degree,back end developer,1.0,55000.0
52.0,female,phd,software engineer manager,16.0,190000.0
32.0,female,master's degree,full stack engineer,6.0,130000.0
32.0,male,master's degree,back end developer,6.0,130000.0
34.0,male,master's degree,full stack engineer,7.0,140000.0
28.0,male,bachelor's degree,front end developer,2.0,70000.0
44.0,male,master's degree,senior project engineer,11.0,170000.0
46.0,male,phd,software engineer manager,14.0,180000.0
27.0,female,master's degree,back end developer,2.0,70000.0
23.0,female,bachelor's degree,front end developer,1.0,55000.0
43.0,male,phd,software engineer manager,13.0,180000.0
28.0,female,bachelor's degree,front end developer,2.0,70000.0
43.0,male,master's degree,senior project engineer,12.0,165000.0
43.0,male,phd,senior project engineer,13.0,185000.0
36.0,male,master's degree,senior software engineer,7.0,140000.0
28.0,female,bachelor's degree,front end developer,3.0,80000.0
28.0,female,master's degree,back end developer,3.0,90000.0
43.0,male,phd,senior software engineer,12.0,170000.0
44.0,male,phd,senior project engineer,12.0,170000.0
37.0,male,master's degree,senior software engineer,10.0,155000.0
56.0,male,phd,software engineer manager,18.0,195000.0
27.0,male,bachelor's degree,front end developer,2.0,70000.0
31.0,male,master's degree,full stack engineer,7.0,140000.0
50.0,male,phd,software engineer manager,16.0,190000.0
33.0,male,master's degree,full stack engineer,6.0,130000.0
41.0,male,phd,senior project engineer,12.0,165000.0
24.0,female,bachelor's degree,front end developer,1.0,55000.0
43.0,male,phd,senior project engineer,12.0,165000.0
58.0,male,phd,software engineer manager,17.0,195000.0
29.0,female,bachelor's degree,front end developer,3.0,85000.0
52.0,male,phd,software engineer manager,18.0,200000.0
36.0,male,master's degree,full stack engineer,8.0,140000.0
26.0,male,bachelor's degree,back end developer,2.0,65000.0
47.0,male,phd,senior project engineer,16.0,190000.0
32.0,male,master's degree,full stack engineer,6.0,120000.0
57.0,male,phd,software engineer manager,18.0,200000.0
51.0,male,phd,software engineer manager,16.0,190000.0
27.0,female,master's degree,back end developer,2.0,65000.0
36.0,male,master's degree,full stack engineer,7.0,130000.0
33.0,female,master's degree,full stack engineer,5.0,120000.0
25.0,male,bachelor's degree,front end developer,1.0,55000.0
40.0,male,phd,senior software engineer,12.0,160000.0
36.0,male,master's degree,senior software engineer,8.0,140000.0
31.0,male,master's degree,senior project engineer,7.0,135000.0
24.0,male,bachelor's degree,back end developer,1.0,55000.0
34.0,male,bachelor's degree,front end developer,5.0,95000.0
43.0,female,master's degree,senior software engineer,12.0,170000.0
27.0,male,bachelor's degree,back end developer,2.0,75000.0
56.0,female,phd,software engineer manager,18.0,210000.0
32.0,male,master's degree,full stack engineer,7.0,135000.0
46.0,male,phd,senior project engineer,16.0,190000.0
41.0,female,phd,senior project engineer,11.0,165000.0
34.0,male,bachelor's degree,back end developer,6.0,120000.0
40.0,female,phd,senior software engineer,12.0,160000.0
24.0,male,bachelor's degree,front end developer,1.0,55000.0
36.0,male,bachelor's degree,front end developer,7.0,120000.0
29.0,female,master's degree,back end developer,3.0,90000.0
41.0,female,phd,software engineer manager,14.0,180000.0
33.0,male,bachelor's degree,full stack engineer,7.0,130000.0
42.0,male,phd,senior software engineer,12.0,170000.0
28.0,male,bachelor's degree,back end developer,2.0,70000.0
55.0,male,phd,software engineer manager,18.0,210000.0
26.0,female,master's degree,front end developer,1.0,55000.0
44.0,female,phd,software engineer manager,11.0,165000.0
30.0,male,master's degree,full stack engineer,5.0,105000.0
39.0,female,master's degree,senior software engineer,11.0,160000.0
32.0,male,bachelor's degree,front end developer,6.0,110000.0
50.0,male,phd,software engineer manager,17.0,195000.0
27.0,male,bachelor's degree,back end developer,3.0,85000.0
46.0,male,phd,senior project engineer,14.0,180000.0
25.0,female,bachelor's degree,front end developer,1.0,55000.0
35.0,male,bachelor's degree,back end developer,8.0,140000.0
35.0,male,bachelor's degree,full stack engineer,8.0,145000.0
41.0,male,phd,senior project engineer,13.0,185000.0
33.0,male,bachelor's degree,front end developer,6.0,110000.0
31.0,male,bachelor's degree,front end developer,6.0,115000.0
42.0,female,master's degree,software engineer manager,13.0,170000.0
27.0,female,bachelor's degree,back end developer,3.0,80000.0
51.0,male,phd,senior project engineer,19.0,200000.0
34.0,female,master's degree,full stack engineer,7.0,130000.0
38.0,male,bachelor's degree,software engineer manager,11.0,155000.0
29.0,male,bachelor's degree,front end developer,5.0,105000.0
43.0,female,phd,senior project engineer,14.0,190000.0
36.0,male,master's degree,back end developer,8.0,140000.0
48.0,male,phd,software engineer manager,16.0,185000.0
35.0,female,bachelor's degree,full stack engineer,8.0,145000.0
30.0,female,master's degree,front end developer,4.0,90000.0
50.0,male,phd,senior project engineer,18.0,195000.0
29.0,male,bachelor's degree,back end developer,4.0,95000.0
41.0,male,master's degree,software engineer manager,13.0,170000.0
33.0,female,bachelor's degree,full stack engineer,6.0,115000.0
45.0,male,phd,senior project engineer,16.0,185000.0
28.0,female,bachelor's degree,front end developer,2.0,65000.0
39.0,female,master's degree,software engineer manager,12.0,160000.0
30.0,male,bachelor's degree,back end developer,5.0,100000.0
46.0,male,phd,senior project engineer,15.0,180000.0
42.0,male,phd,software engineer manager,14.0,190000.0
31.0,male,bachelor's degree,full stack engineer,6.0,115000.0
49.0,female,phd,senior project engineer,17.0,195000.0
36.0,male,master's degree,back end developer,9.0,150000.0
45.0,male,phd,software engineer manager,16.0,185000.0
25.0,female,bachelor's degree,front end developer,1.0,550.0
29.0,male,bachelor's degree,front end developer,4.0,90000.0
40.0,female,master's degree,software engineer manager,12.0,160000.0
33.0,female,master's degree,full stack engineer,6.0,115000.0
37.0,male,bachelor's degree,software engineer manager,10.0,150000.0
28.0,male,bachelor's degree,front end developer,2.0,65000.0
44.0,female,phd,senior project engineer,14.0,190000.0
35.0,male,master's degree,back end developer,8.0,140000.0
47.0,male,phd,software engineer manager,16.0,185000.0
34.0,female,bachelor's degree,full stack engineer,7.0,130000.0
31.0,female,master's degree,front end developer,5.0,105000.0
42.0,male,master's degree,software engineer manager,13.0,170000.0
29.0,female,bachelor's degree,front end developer,4.0,90000.0
27.0,male,bachelor's degree,back end developer,3.0,80000.0
49.0,male,phd,senior project engineer,17.0,195000.0
32.0,female,master's degree,full stack engineer,6.0,115000.0
36.0,male,bachelor's degree,software engineer manager,8.0,135000.0
27.0,male,bachelor's degree,front end developer,2.0,65000.0
34.0,male,master's degree,back end developer,8.0,140000.0
46.0,male,phd,software engineer manager,16.0,185000.0
33.0,female,bachelor's degree,full stack engineer,7.0,130000.0
30.0,female,master's degree,front end developer,5.0,105000.0
50.0,male,phd,senior project engineer,19.0,200000.0
27.0,male,nan,developer,7.0,100000.0
31.0,female,bachelor's degree,front end developer,6.0,110000.0
37.0,male,master's degree,software engineer manager,10.0,150000.0
31.0,male,master's degree,software engineer manager,8.0,130000.0
43.0,male,phd,senior project engineer,15.0,180000.0
35.0,female,master's degree,full stack engineer,8.0,140000.0
42.0,male,bachelor's degree,software engineer manager,12.0,160000.0
28.0,female,bachelor's degree,front end developer,2.0,55000.0
44.0,female,phd,senior project engineer,16.0,190000.0
32.0,male,master's degree,back end developer,7.0,120000.0
48.0,male,phd,software engineer manager,18.0,200000.0
30.0,female,bachelor's degree,full stack engineer,5.0,100000.0
34.0,male,master's degree,front end developer,9.0,150000.0
37.0,female,bachelor's degree,software engineer manager,11.0,170000.0
49.0,female,phd,senior project engineer,19.0,210000.0
29.0,male,bachelor's degree,full stack engineer,4.0,90000.0
41.0,male,master's degree,software engineer manager,14.0,180000.0
46.0,female,phd,senior project engineer,16.0,185000.0
30.0,male,master's degree,front end developer,5.0,105000.0
50.0,male,phd,software engineer manager,20.0,210000.0
31.0,male,bachelor's degree,back end developer,6.0,95000.0
39.0,female,master's degree,software engineer manager,11.0,170000.0
48.0,male,phd,software engineer manager,19.0,200000.0
28.0,male,bachelor's degree,software engineer,4.0,75000.0
33.0,female,master's degree,data analyst,7.0,95000.0
22.0,male,bachelor's degree,front end developer,1.0,50000.0
44.0,male,phd,senior data scientist,15.0,180000.0
29.0,female,bachelor's degree,software developer,3.0,65000.0
31.0,male,master's degree,product manager,6.0,120000.0
25.0,female,master's degree,software engineer,2.0,60000.0
38.0,male,bachelor's degree,data scientist,10.0,150000.0
27.0,male,bachelor's degree,software engineer,3.0,70000.0
46.0,female,phd,director of data science,20.0,220000.0
33.0,male,master's degree,data analyst,8.0,100000.0
24.0,female,bachelor's degree,software developer,2.0,55000.0
36.0,male,phd,senior data scientist,12.0,170000.0
30.0,female,bachelor's degree,software engineer,5.0,90000.0
29.0,male,bachelor's degree,front end developer,4.0,80000.0
42.0,male,master's degree,product manager,14.0,180000.0
26.0,male,bachelor's degree,software developer,2.0,60000.0
35.0,female,master's degree,data analyst,9.0,120000.0
27.0,female,bachelor's degree,software engineer,3.0,70000.0
48.0,male,phd,director of data science,18.0,210000.0
34.0,male,master's degree,data scientist,9.0,140000.0
23.0,female,bachelor's degree,software engineer,1.0,50000.0
32.0,male,master's degree,product manager,7.0,110000.0
37.0,male,bachelor's degree,data analyst,11.0,160000.0
41.0,female,phd,director of data science,16.0,200000.0
34.0,male,master's degree,data analyst,8.0,100000.0
34.0,female,bachelor's degree,full stack engineer,8.0,122485.0
25.0,male,phd,software engineer manager,12.0,169159.0
43.0,male,master's degree,senior software engineer,21.0,187081.0
53.0,other,high school,senior project engineer,31.0,166109.0
27.0,female,master's degree,front end developer,5.0,78354.0
25.0,male,bachelor's degree,back end developer,2.0,90249.0
29.0,female,master's degree,senior software engineer,6.0,132720.0
52.0,male,phd,software engineer manager,23.0,161568.0
41.0,male,master's degree,front end developer,13.0,127346.0
49.0,female,bachelor's degree,back end developer,19.0,120177.0
25.0,other,high school,full stack engineer,2.0,69032.0
35.0,male,master's degree,senior project engineer,8.0,101332.0
57.0,female,phd,full stack engineer,30.0,121450.0
35.0,female,bachelor's degree,senior project engineer,12.0,166375.0
43.0,male,master's degree,senior software engineer,21.0,185119.0
37.0,female,bachelor's degree,full stack engineer,10.0,149217.0
50.0,male,master's degree,software engineer manager,21.0,166512.0
52.0,female,master's degree,senior software engineer,28.0,186963.0
26.0,male,bachelor's degree,back end developer,3.0,75072.0
34.0,female,master's degree,full stack engineer,10.0,163398.0
30.0,male,high school,senior project engineer,11.0,103947.0
60.0,female,phd,software engineer manager,33.0,179180.0
50.0,male,bachelor's degree,back end developer,23.0,175966.0
58.0,male,master's degree,senior software engineer,27.0,190004.0
35.0,female,master's degree,full stack engineer,10.0,152039.0
28.0,male,master's degree,front end developer,5.0,76742.0
57.0,female,phd,software engineer manager,33.0,191790.0
46.0,female,bachelor's degree,senior software engineer,20.0,139398.0
28.0,male,high school,back end developer,7.0,95845.0
34.0,male,master's degree,full stack engineer,12.0,160976.0
33.0,female,master's degree,senior project engineer,9.0,126753.0
37.0,other,master's degree,full stack engineer,14.0,161393.0
33.0,male,master's degree,senior software engineer,8.0,139817.0
53.0,male,phd,software engineer manager,25.0,181714.0
35.0,female,bachelor's degree,back end developer,10.0,114776.0
30.0,male,master's degree,full stack engineer,6.0,105725.0
24.0,female,high school,senior project engineer,1.0,52731.0
36.0,male,master's degree,front end developer,8.0,106492.0
27.0,female,bachelor's degree,full stack engineer,4.0,73895.0
23.0,male,phd,software engineer manager,1.0,119836.0
28.0,female,master's degree,senior software engineer,5.0,99747.0
52.0,male,bachelor's degree,back end developer,25.0,168287.0
28.0,female,master's degree,full stack engineer,7.0,115920.0
32.0,male,master's degree,senior project engineer,11.0,128078.0
24.0,female,bachelor's degree,front end developer,1.0,51265.0
43.0,male,high school,senior software engineer,22.0,165919.0
60.0,female,phd,software engineer manager,34.0,188651.0
24.0,male,master's degree,back end developer,0.0,55538.0
55.0,male,bachelor's degree,senior project engineer,28.0,193964.0
29.0,female,master's degree,full stack engineer,4.0,104702.0
44.0,male,phd,software engineer manager,19.0,172955.0
40.0,female,master's degree,senior software engineer,16.0,138032.0
27.0,male,bachelor's degree,back end developer,4.0,82683.0
43.0,male,master's degree,full stack engineer,17.0,155414.0
49.0,female,high school,senior project engineer,25.0,154207.0
30.0,male,master's degree,front end developer,8.0,107895.0
42.0,female,bachelor's degree,senior software engineer,18.0,148446.0
26.0,male,master's degree,full stack engineer,4.0,102859.0
41.0,female,phd,software engineer manager,13.0,138662.0
46.0,male,bachelor's degree,senior project engineer,23.0,181699.0
57.0,female,master's degree,full stack engineer,33.0,188232.0
22.0,female,high school,back end developer,0.0,51832.0
54.0,male,phd,software engineer manager,28.0,188484.0
42.0,female,master's degree,senior software engineer,16.0,138286.0
49.0,male,bachelor's degree,full stack engineer,22.0,181132.0
27.0,female,master's degree,back end developer,4.0,73938.0
36.0,male,bachelor's degree,senior project engineer,14.0,119224.0
31.0,female,master's degree,full stack engineer,6.0,101186.0
39.0,male,master's degree,software engineer manager,14.0,142360.0
41.0,female,bachelor's degree,senior project engineer,20.0,151315.0
48.0,male,phd,full stack engineer,23.0,181021.0
39.0,female,master's degree,senior software engineer,15.0,134641.0
48.0,male,bachelor's degree,front end developer,23.0,173851.0
31.0,other,high school,back end developer,8.0,104127.0
47.0,male,master's degree,senior project engineer,25.0,178859.0
29.0,female,phd,full stack engineer,5.0,98568.0
32.0,male,bachelor's degree,software engineer manager,9.0,104661.0
38.0,female,master's degree,senior software engineer,13.0,134858.0
34.0,male,bachelor's degree,back end developer,10.0,94502.0
23.0,other,high school,front end developer,2.0,62852.0
36.0,male,bachelor's degree,front end developer,14.0,139095.0
30.0,female,master's degree,senior project engineer,5.0,106278.0
28.0,male,master's degree,full stack engineer,4.0,90452.0
46.0,female,phd,software engineer manager,23.0,168304.0
34.0,male,bachelor's degree,back end developer,10.0,126593.0
44.0,male,master's degree,senior software engineer,19.0,152203.0
55.0,female,phd,software engineer manager,30.0,183138.0
35.0,male,master's degree,full stack engineer,9.0,130275.0
54.0,male,bachelor's degree,senior project engineer,29.0,191915.0
23.0,female,high school,back end developer,2.0,62807.0
46.0,male,master's degree,senior software engineer,21.0,174305.0
33.0,female,bachelor's degree,full stack engineer,9.0,133326.0
26.0,male,master's degree,front end developer,4.0,75656.0
43.0,female,phd,software engineer manager,19.0,155944.0
36.0,male,master's degree,full stack engineer,11.0,137775.0
23.0,female,bachelor's degree,senior project engineer,0.0,51831.0
49.0,male,master's degree,software engineer manager,22.0,182237.0
35.0,female,master's degree,full stack engineer,10.0,151901.0
31.0,male,bachelor's degree,back end developer,8.0,100052.0
54.0,other,high school,senior software engineer,29.0,158254.0
43.0,male,master's degree,full stack engineer,20.0,167207.0
33.0,female,master's degree,senior project engineer,10.0,112439.0
52.0,female,phd,software engineer manager,29.0,194214.0
28.0,male,bachelor's degree,full stack engineer,5.0,84407.0
36.0,female,master's degree,senior software engineer,13.0,139413.0
43.0,male,bachelor's degree,senior project engineer,20.0,143084.0
50.0,female,master's degree,full stack engineer,25.0,192344.0
24.0,male,phd,software engineer manager,1.0,106132.0
52.0,male,master's degree,senior software engineer,26.0,184816.0
46.0,female,bachelor's degree,back end developer,19.0,150248.0
38.0,male,master's degree,full stack engineer,15.0,170995.0
29.0,male,bachelor's degree,senior project engineer,6.0,88035.0
33.0,female,master's degree,front end developer,10.0,119419.0
47.0,male,phd,software engineer manager,21.0,173582.0
45.0,female,master's degree,senior software engineer,23.0,174436.0
28.0,male,bachelor's degree,back end developer,4.0,71699.0
42.0,female,master's degree,full stack engineer,14.0,163558.0
46.0,male,bachelor's degree,senior project engineer,24.0,166828.0
38.0,female,phd,software engineer manager,15.0,144496.0
54.0,male,master's degree,senior software engineer,31.0,193746.0
33.0,female,master's degree,full stack engineer,8.0,122581.0
27.0,male,high school,back end developer,4.0,79767.0
50.0,female,bachelor's degree,senior project engineer,25.0,177177.0
26.0,male,master's degree,full stack engineer,4.0,89843.0
31.0,female,master's degree,senior software engineer,6.0,113563.0
35.0,male,bachelor's degree,front end developer,10.0,128712.0
44.0,female,phd,software engineer manager,18.0,161621.0
32.0,male,master's degree,senior project engineer,8.0,121454.0
54.0,male,bachelor's degree,full stack engineer,25.0,179987.0
26.0,female,master's degree,front end developer,3.0,72649.0
23.0,male,phd,software engineer manager,0.0,52612.0
48.0,female,master's degree,senior software engineer,24.0,184006.0
38.0,male,bachelor's degree,back end developer,12.0,131960.0
30.0,female,master's degree,full stack engineer,5.0,102465.0
40.0,male,master's degree,software engineer manager,16.0,149748.0
45.0,female,bachelor's degree,senior project engineer,22.0,171036.0
36.0,male,master's degree,full stack engineer,13.0,146351.0
52.0,male,phd,software engineer manager,26.0,185462.0
31.0,female,bachelor's degree,senior software engineer,7.0,107718.0
26.0,male,master's degree,full stack engineer,4.0,90944.0
30.0,female,master's degree,senior project engineer,5.0,100425.0
24.0,male,bachelor's degree,back end developer,2.0,63901.0
45.0,male,master's degree,senior software engineer,22.0,181902.0
33.0,female,master's degree,full stack engineer,9.0,136533.0
38.0,male,bachelor's degree,front end developer,11.0,136285.0
54.0,female,phd,software engineer manager,31.0,191818.0
42.0,male,master's degree,full stack engineer,19.0,176643.0
28.0,female,bachelor's degree,senior project engineer,4.0,70022.0
30.0,male,master's degree,front end developer,6.0,99363.0
43.0,female,master's degree,senior software engineer,19.0,152944.0
35.0,male,bachelor's degree,back end developer,10.0,123386.0
44.0,male,master's degree,full stack engineer,21.0,168906.0
55.0,female,bachelor's degree,senior project engineer,30.0,183020.0
23.0,male,high school,front end developer,1.0,47898.0
39.0,female,master's degree,senior software engineer,14.0,135853.0
43.0,male,bachelor's degree,full stack engineer,17.0,149198.0
29.0,male,phd,software engineer manager,6.0,106662.0
51.0,male,master's degree,senior software engineer,28.0,186610.0
30.0,female,bachelor's degree,senior project engineer,6.0,89995.0
26.0,male,master's degree,full stack engineer,4.0,85825.0
39.0,female,phd,software engineer manager,13.0,143814.0
49.0,male,master's degree,front end developer,24.0,174726.0
42.0,female,bachelor's degree,senior software engineer,20.0,150534.0
27.0,male,bachelor's degree,back end developer,4.0,68732.0
43.0,male,master's degree,full stack engineer,21.0,187951.0
37.0,female,bachelor's degree,senior project engineer,13.0,137336.0
51.0,male,phd,software engineer manager,26.0,191159.0
29.0,female,master's degree,full stack engineer,5.0,102868.0
43.0,male,bachelor's degree,senior software engineer,20.0,154281.0
31.0,male,master's degree,back end developer,8.0,111535.0
30.0,female,master's degree,senior project engineer,6.0,107906.0
36.0,male,bachelor's degree,full stack engineer,13.0,143885.0
52.0,female,phd,software engineer manager,27.0,180958.0
28.0,male,master's degree,senior software engineer,6.0,108607.0
49.0,male,bachelor's degree,back end developer,24.0,178284.0
27.0,female,master's degree,front end developer,4.0,75969.0
41.0,male,master's degree,senior project engineer,15.0,143705.0
56.0,female,phd,software engineer manager,31.0,197354.0
46.0,male,bachelor's degree,senior software engineer,22.0,174324.0
32.0,female,master's degree,full stack engineer,8.0,123781.0
38.0,male,phd,software engineer manager,12.0,141735.0
52.0,male,master's degree,senior project engineer,28.0,187120.0
24.0,female,bachelor's degree,back end developer,1.0,61095.0
49.0,male,master's degree,full stack engineer,22.0,179045.0
35.0,female,master's degree,senior software engineer,10.0,130355.0
31.0,male,bachelor's degree,front end developer,7.0,103282.0
44.0,female,phd,software engineer manager,18.0,157872.0
33.0,male,master's degree,senior project engineer,10.0,117314.0
54.0,male,bachelor's degree,senior software engineer,30.0,186321.0
33.0,female,master's degree,full stack engineer,11.0,129686.0
27.0,male,high school,back end developer,3.0,68611.0
51.0,female,master's degree,senior project engineer,25.0,177913.0
26.0,male,master's degree,full stack engineer,3.0,68472.0
31.0,female,master's degree,senior software engineer,6.0,113065.0
35.0,male,bachelor's degree,front end developer,9.0,125091.0
45.0,female,phd,software engineer manager,23.0,172925.0
32.0,male,master's degree,senior project engineer,9.0,126916.0
54.0,male,bachelor's degree,full stack engineer,27.0,183417.0
26.0,female,master's degree,front end developer,4.0,76898.0
23.0,male,phd,software engineer manager,1.0,579.0
26.0,female,bachelor's degree,software engineer,2.0,65000.0
33.0,male,master's degree,data analyst,8.0,120000.0
29.0,female,bachelor's degree,product manager,4.0,90000.0
41.0,male,phd,data scientist,15.0,190000.0
35.0,female,master's degree,software engineer,9.0,140000.0
28.0,male,bachelor's degree,software developer,3.0,75000.0
37.0,female,master's degree,data scientist,11.0,160000.0
33.0,male,bachelor's degree,product manager,8.0,130000.0
24.0,female,master's degree,software engineer,2.0,60000.0
46.0,male,phd,director of data science,20.0,220000.0
29.0,female,bachelor's degree,software developer,5.0,80000.0
31.0,male,master's degree,data scientist,7.0,130000.0
27.0,female,bachelor's degree,software engineer,3.0,65000.0
38.0,male,phd,senior data scientist,13.0,170000.0
30.0,female,master's degree,product manager,6.0,110000.0
25.0,male,bachelor's degree,front end developer,2.0,50000.0
44.0,male,phd,director of data science,18.0,210000.0
33.0,female,master's degree,data analyst,8.0,100000.0
22.0,male,bachelor's degree,software engineer,1.0,50000.0
36.0,male,master's degree,product manager,10.0,160000.0
28.0,female,bachelor's degree,software engineer,4.0,70000.0
41.0,male,phd,senior data scientist,16.0,190000.0
34.0,female,master's degree,data scientist,9.0,140000.0
23.0,male,bachelor's degree,software developer,1.0,45000.0
32.0,female,master's degree,product manager,7.0,120000.0
25.0,male,master's degree,software engineer,2.0,60000.0
37.0,female,bachelor's degree,data analyst,11.0,150000.0
28.0,male,bachelor's degree,software engineer,4.0,70000.0
29.0,female,bachelor's degree,full stack engineer,6.0,103579.0
45.0,male,master's degree,software engineer manager,19.0,163780.0
36.0,male,bachelor's degree,front end developer,12.0,137878.0
30.0,female,master's degree,senior project engineer,4.0,92438.0
28.0,male,master's degree,full stack engineer,5.0,84181.0
46.0,female,phd,software engineer manager,21.0,174821.0
34.0,male,bachelor's degree,back end developer,10.0,126520.0
44.0,male,master's degree,senior software engineer,18.0,152168.0
55.0,female,phd,software engineer manager,29.0,190543.0
35.0,male,master's degree,full stack engineer,9.0,131547.0
54.0,male,bachelor's degree,senior project engineer,28.0,192292.0
23.0,female,high school,back end developer,1.0,52807.0
46.0,male,master's degree,senior software engineer,20.0,174938.0
33.0,female,bachelor's degree,full stack engineer,8.0,124071.0
26.0,male,master's degree,front end developer,3.0,73640.0
43.0,female,phd,software engineer manager,19.0,156486.0
36.0,male,master's degree,full stack engineer,11.0,138859.0
23.0,female,bachelor's degree,senior project engineer,0.0,52831.0
49.0,male,master's degree,software engineer manager,23.0,182392.0
35.0,female,master's degree,full stack engineer,11.0,151078.0
31.0,male,bachelor's degree,back end developer,8.0,100679.0
54.0,other,high school,senior software engineer,29.0,158966.0
43.0,male,master's degree,full stack engineer,20.0,167924.0
33.0,female,master's degree,senior project engineer,10.0,113334.0
52.0,female,phd,software engineer manager,29.0,194778.0
28.0,male,bachelor's degree,full stack engineer,4.0,77606.0
36.0,female,master's degree,senior software engineer,13.0,140010.0
43.0,male,bachelor's degree,senior project engineer,20.0,142421.0
50.0,female,master's degree,full stack engineer,24.0,192756.0
24.0,male,phd,software engineer manager,1.0,106686.0
52.0,male,master's degree,senior software engineer,27.0,186794.0
46.0,female,bachelor's degree,back end developer,19.0,150729.0
38.0,male,master's degree,full stack engineer,15.0,171652.0
29.0,male,bachelor's degree,senior project engineer,6.0,88552.0
33.0,female,master's degree,front end developer,9.0,119918.0
47.0,male,phd,software engineer manager,21.0,174985.0
45.0,female,master's degree,senior software engineer,23.0,174336.0
28.0,male,bachelor's degree,back end developer,4.0,72389.0
42.0,female,master's degree,full stack engineer,14.0,163978.0
46.0,male,bachelor's degree,senior project engineer,25.0,166958.0
38.0,female,phd,software engineer manager,15.0,145052.0
54.0,male,master's degree,senior software engineer,32.0,195270.0
33.0,female,master's degree,full stack engineer,8.0,122970.0
27.0,male,high school,back end developer,4.0,80247.0
50.0,female,bachelor's degree,senior project engineer,25.0,177862.0
26.0,male,master's degree,full stack engineer,4.0,91062.0
31.0,female,master's degree,senior software engineer,6.0,114290.0
35.0,male,bachelor's degree,front end developer,10.0,128999.0
44.0,female,phd,software engineer manager,18.0,162454.0
32.0,male,master's degree,senior project engineer,8.0,122354.0
54.0,male,bachelor's degree,full stack engineer,25.0,179756.0
26.0,female,master's degree,front end developer,3.0,73218.0
48.0,female,master's degree,senior software engineer,24.0,184480.0
38.0,male,bachelor's degree,back end developer,12.0,132442.0
30.0,female,master's degree,full stack engineer,5.0,102828.0
40.0,male,master's degree,software engineer manager,16.0,150301.0
45.0,female,bachelor's degree,senior project engineer,22.0,171468.0
36.0,male,master's degree,full stack engineer,13.0,147326.0
52.0,male,phd,software engineer manager,26.0,185982.0
31.0,female,bachelor's degree,senior software engineer,7.0,108267.0
26.0,male,master's degree,full stack engineer,4.0,91397.0
30.0,female,master's degree,senior project engineer,5.0,100867.0
24.0,male,bachelor's degree,back end developer,2.0,64182.0
45.0,male,master's degree,senior software engineer,22.0,182506.0
33.0,female,master's degree,full stack engineer,9.0,136986.0
38.0,male,bachelor's degree,front end developer,11.0,136662.0
54.0,female,phd,software engineer manager,32.0,191510.0
42.0,male,master's degree,full stack engineer,19.0,177347.0
28.0,female,bachelor's degree,senior project engineer,3.0,70397.0
34.0,male,master's degree,software engineer manager,9.0,146075.0
46.0,female,bachelor's degree,back end developer,18.0,155795.0
35.0,male,master's degree,full stack engineer,9.0,132638.0
49.0,female,phd,software engineer manager,22.0,178684.0
32.0,male,bachelor's degree,senior software engineer,7.0,106218.0
54.0,male,master's degree,full stack engineer,28.0,191239.0
26.0,female,master's degree,front end developer,2.0,65840.0
23.0,male,phd,software engineer manager,0.0,52779.0
48.0,female,master's degree,senior software engineer,23.0,185038.0
38.0,male,bachelor's degree,back end developer,14.0,136449.0
30.0,female,master's degree,full stack engineer,6.0,110707.0
40.0,male,master's degree,software engineer manager,17.0,151670.0
45.0,female,bachelor's degree,senior project engineer,21.0,167015.0
36.0,male,master's degree,full stack engineer,13.0,146508.0
52.0,male,phd,software engineer manager,27.0,190596.0
31.0,female,bachelor's degree,senior software engineer,6.0,104378.0
26.0,male,master's degree,full stack engineer,3.0,70216.0
30.0,female,master's degree,senior project engineer,5.0,101733.0
24.0,male,bachelor's degree,back end developer,1.0,55935.0
45.0,male,master's degree,senior software engineer,21.0,180367.0
33.0,female,master's degree,full stack engineer,9.0,135596.0
38.0,male,bachelor's degree,front end developer,11.0,136062.0
54.0,female,phd,software engineer manager,32.0,191267.0
26.0,male,master's degree,full stack engineer,3.0,91397.0
28.0,female,bachelor's degree,senior project engineer,4.0,82944.0
48.0,male,phd,software engineer manager,23.0,188288.0
36.0,female,master's degree,senior software engineer,14.0,141090.0
43.0,male,bachelor's degree,full stack engineer,19.0,152726.0
33.0,female,master's degree,back end developer,9.0,124141.0
26.0,male,bachelor's degree,front end developer,3.0,67556.0
50.0,female,master's degree,senior project engineer,22.0,182768.0
41.0,male,phd,software engineer manager,15.0,148727.0
29.0,female,bachelor's degree,full stack engineer,6.0,91903.0
38.0,male,master's degree,senior software engineer,14.0,147708.0
48.0,female,bachelor's degree,senior project engineer,21.0,163209.0
31.0,male,master's degree,full stack engineer,8.0,120288.0
45.0,male,phd,software engineer manager,21.0,170226.0
35.0,female,master's degree,senior software engineer,11.0,134979.0
42.0,male,bachelor's degree,back end developer,16.0,137489.0
27.0,female,master's degree,full stack engineer,4.0,83577.0
